order_id,order_date,order_time,pizza_id,pizza_name,pizza_category,pizza_size,quantity,unit_price,total_price
10058,2024-05-27,14:13:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10059,2024-11-23,11:25:00,P01,Margherita,Classic,Medium,3,8.0,24.0
10060,2024-03-23,19:27:00,P04,BBQ Chicken,Chicken,XL,3,20.25,60.75
10061,2024-06-05,14:42:00,P05,Chicken Supreme,Chicken,Large,3,21.25,63.75
10062,2024-10-10,21:40:00,P03,Hawaiian,Classic,XL,1,24.0,24.0
10063,2024-04-21,19:58:00,P12,Paneer Tikka,Specialty,Medium,2,13.0,26.0
10064,2024-05-12,18:31:00,P05,Chicken Supreme,Chicken,Medium,2,17.0,34.0
10065,2024-12-11,14:14:00,P04,BBQ Chicken,Chicken,Large,1,16.88,16.88
10066,2024-09-16,14:52:00,P08,Veggie Supreme,Veggie,Large,1,19.38,19.38
10067,2024-12-05,20:20:00,P02,Pepperoni,Classic,XL,1,18.0,18.0
10068,2024-02-29,15:06:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10069,2024-06-30,10:49:00,P01,Margherita,Classic,Large,1,10.0,10.0
10070,2024-01-07,12:27:00,P15,Truffle Mushroom,Specialty,Medium,1,19.0,19.0
10071,2024-09-22,20:12:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10072,2024-09-07,13:59:00,P02,Pepperoni,Classic,Small,1,10.2,10.2
10073,2024-10-25,14:05:00,P01,Margherita,Classic,Medium,2,8.0,16.0
10074,2024-04-08,10:34:00,P12,Paneer Tikka,Specialty,Large,1,16.25,16.25
10075,2024-06-30,13:06:00,P10,Four Cheese,Cheese,Small,1,10.62,10.62
10076,2024-04-02,20:17:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10077,2024-05-11,17:10:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10078,2024-05-13,19:50:00,P01,Margherita,Classic,Small,2,6.8,13.6
10079,2024-07-04,21:17:00,P05,Chicken Supreme,Chicken,Medium,1,17.0,17.0
10080,2024-11-18,10:32:00,P02,Pepperoni,Classic,Medium,2,12.0,24.0
10081,2024-02-03,12:08:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10082,2024-10-26,20:26:00,P09,Spinach Feta,Veggie,Large,2,11.88,23.76
10083,2024-04-20,18:54:00,P04,BBQ Chicken,Chicken,XL,1,20.25,20.25
10084,2024-03-11,14:47:00,P01,Margherita,Classic,Medium,1,8.0,8.0
10085,2024-11-22,13:52:00,P04,BBQ Chicken,Chicken,Medium,2,13.5,27.0
10086,2024-04-17,10:42:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10087,2024-08-15,12:01:00,P11,Cheese Burst,Cheese,Large,2,20.62,41.24
10088,2024-09-04,10:23:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10089,2024-07-19,15:00:00,P13,Farmhouse,Specialty,Small,1,14.88,14.88
10090,2024-04-15,21:54:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10091,2024-09-27,14:14:00,P02,Pepperoni,Classic,XL,1,18.0,18.0
10092,2024-04-30,16:52:00,P10,Four Cheese,Cheese,Medium,3,12.5,37.5
10093,2024-03-06,13:49:00,P11,Cheese Burst,Cheese,Medium,2,16.5,33.0
10094,2024-05-16,11:01:00,P08,Veggie Supreme,Veggie,XL,1,23.25,23.25
10095,2024-05-25,10:40:00,P11,Cheese Burst,Cheese,Large,1,20.62,20.62
10096,2024-03-12,11:33:00,P07,Veggie Garden,Veggie,Large,1,14.38,14.38
10097,2024-07-10,21:28:00,P07,Veggie Garden,Veggie,Medium,2,11.5,23.0
10098,2024-01-16,13:01:00,P06,Buffalo Chicken,Chicken,XL,1,15.75,15.75
10099,2024-08-19,22:03:00,P01,Margherita,Classic,Large,1,10.0,10.0
10100,2024-02-21,18:51:00,P02,Pepperoni,Classic,Large,3,15.0,45.0
10101,2024-01-31,19:26:00,P01,Margherita,Classic,Large,1,10.0,10.0
10102,2024-04-30,12:33:00,P09,Spinach Feta,Veggie,Large,1,11.88,11.88
10103,2024-04-04,20:07:00,P04,BBQ Chicken,Chicken,Medium,3,13.5,40.5
10104,2024-01-12,12:44:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10105,2024-10-16,22:26:00,P13,Farmhouse,Specialty,Large,1,21.88,21.88
10106,2024-11-23,17:20:00,P03,Hawaiian,Classic,Medium,1,16.0,16.0
10107,2024-02-10,20:21:00,P05,Chicken Supreme,Chicken,Medium,1,17.0,17.0
10108,2024-10-03,21:02:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10109,2024-03-11,18:51:00,P03,Hawaiian,Classic,Large,3,20.0,60.0
10110,2024-07-17,21:18:00,P01,Margherita,Classic,Small,1,6.8,6.8
10111,2024-10-09,11:12:00,P04,BBQ Chicken,Chicken,Large,2,16.88,33.76
10112,2024-12-28,10:37:00,P02,Pepperoni,Classic,Medium,3,12.0,36.0
10113,2024-03-25,11:12:00,P14,Mexican Green,Specialty,Medium,1,10.0,10.0
10114,2024-12-30,12:40:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10115,2024-02-20,16:00:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10116,2024-05-02,17:54:00,P13,Farmhouse,Specialty,Medium,3,17.5,52.5
10117,2024-08-03,22:03:00,P12,Paneer Tikka,Specialty,Medium,2,13.0,26.0
10118,2024-11-14,11:13:00,P02,Pepperoni,Classic,Small,1,10.2,10.2
10119,2024-02-10,12:29:00,P13,Farmhouse,Specialty,XL,2,26.25,52.5
10120,2024-02-28,13:22:00,P08,Veggie Supreme,Veggie,Small,1,13.17,13.17
10121,2024-01-18,17:59:00,P12,Paneer Tikka,Specialty,Large,3,16.25,48.75
10122,2024-03-14,17:11:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10123,2024-06-17,17:31:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10124,2024-12-02,18:44:00,P02,Pepperoni,Classic,Medium,3,12.0,36.0
10125,2024-07-24,14:08:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10126,2024-12-11,12:23:00,P06,Buffalo Chicken,Chicken,Large,1,13.12,13.12
10127,2024-03-27,16:43:00,P12,Paneer Tikka,Specialty,Large,1,16.25,16.25
10128,2024-07-04,11:49:00,P13,Farmhouse,Specialty,Small,1,14.88,14.88
10129,2024-09-30,22:10:00,P01,Margherita,Classic,Large,1,10.0,10.0
10130,2024-01-02,13:38:00,P07,Veggie Garden,Veggie,Medium,3,11.5,34.5
10131,2024-04-07,14:45:00,P05,Chicken Supreme,Chicken,Small,1,14.45,14.45
10132,2024-06-15,18:39:00,P03,Hawaiian,Classic,Medium,1,16.0,16.0
10133,2024-10-23,16:50:00,P02,Pepperoni,Classic,Medium,2,12.0,24.0
10134,2024-12-02,19:22:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10135,2024-01-22,11:48:00,P14,Mexican Green,Specialty,Large,1,12.5,12.5
10136,2024-09-28,19:03:00,P04,BBQ Chicken,Chicken,Medium,2,13.5,27.0
10137,2024-10-04,20:20:00,P07,Veggie Garden,Veggie,Medium,2,11.5,23.0
10138,2024-08-19,18:15:00,P10,Four Cheese,Cheese,Small,2,10.62,21.24
10139,2024-02-24,18:34:00,P05,Chicken Supreme,Chicken,Large,2,21.25,42.5
10140,2024-02-03,18:12:00,P15,Truffle Mushroom,Specialty,Medium,1,19.0,19.0
10141,2024-09-08,21:10:00,P14,Mexican Green,Specialty,Medium,3,10.0,30.0
10142,2024-11-12,19:34:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10143,2024-03-09,18:38:00,P07,Veggie Garden,Veggie,Medium,2,11.5,23.0
10144,2024-05-18,21:42:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10145,2024-05-26,22:03:00,P04,BBQ Chicken,Chicken,Medium,3,13.5,40.5
10146,2024-07-24,21:58:00,P01,Margherita,Classic,Medium,2,8.0,16.0
10147,2024-09-14,17:21:00,P09,Spinach Feta,Veggie,Large,2,11.88,23.76
10148,2024-08-30,22:20:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10149,2024-08-07,10:28:00,P01,Margherita,Classic,Small,1,6.8,6.8
10150,2024-04-10,15:57:00,P04,BBQ Chicken,Chicken,Small,1,11.47,11.47
10151,2024-08-05,20:10:00,P13,Farmhouse,Specialty,Medium,2,17.5,35.0
10152,2024-11-26,22:33:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10153,2024-12-04,19:36:00,P02,Pepperoni,Classic,Medium,3,12.0,36.0
10154,2024-11-29,22:18:00,P07,Veggie Garden,Veggie,Small,3,9.78,29.34
10155,2024-10-03,17:25:00,P15,Truffle Mushroom,Specialty,Large,1,23.75,23.75
10156,2024-08-20,17:11:00,P03,Hawaiian,Classic,Large,2,20.0,40.0
10157,2024-03-23,10:29:00,P10,Four Cheese,Cheese,Large,1,15.62,15.62
10158,2024-09-27,12:48:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10159,2024-05-20,20:08:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10160,2024-05-03,22:15:00,P11,Cheese Burst,Cheese,Small,1,14.03,14.03
10161,2024-04-24,17:53:00,P05,Chicken Supreme,Chicken,Small,2,14.45,28.9
10162,2024-10-14,12:22:00,P09,Spinach Feta,Veggie,Small,1,8.07,8.07
10163,2024-05-28,11:47:00,P09,Spinach Feta,Veggie,Large,2,11.88,23.76
10164,2024-05-21,17:48:00,P07,Veggie Garden,Veggie,Small,2,9.78,19.56
10165,2024-10-14,20:44:00,P01,Margherita,Classic,Medium,2,8.0,16.0
10166,2024-01-11,21:03:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10167,2024-03-30,14:35:00,P04,BBQ Chicken,Chicken,Medium,2,13.5,27.0
10168,2024-07-24,16:09:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10169,2024-09-07,11:09:00,P01,Margherita,Classic,Small,1,6.8,6.8
10170,2024-12-20,14:39:00,P08,Veggie Supreme,Veggie,Medium,1,15.5,15.5
10171,2024-10-24,17:45:00,P10,Four Cheese,Cheese,Large,1,15.62,15.62
10172,2024-12-03,18:53:00,P01,Margherita,Classic,Small,3,6.8,20.4
10173,2024-02-10,13:34:00,P07,Veggie Garden,Veggie,Large,1,14.38,14.38
10174,2024-02-22,14:19:00,P03,Hawaiian,Classic,Large,2,20.0,40.0
10175,2024-10-11,16:55:00,P09,Spinach Feta,Veggie,Large,1,11.88,11.88
10176,2024-12-06,18:06:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10177,2024-07-23,22:22:00,P10,Four Cheese,Cheese,Medium,4,12.5,50.0
10178,2024-01-08,21:35:00,P05,Chicken Supreme,Chicken,Medium,2,17.0,34.0
10179,2024-01-16,19:28:00,P14,Mexican Green,Specialty,Small,1,8.5,8.5
10180,2024-04-02,15:36:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10181,2024-06-09,22:40:00,P04,BBQ Chicken,Chicken,Small,1,11.47,11.47
10182,2024-01-18,15:46:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10183,2024-12-16,17:50:00,P14,Mexican Green,Specialty,Large,2,12.5,25.0
10184,2024-09-26,16:03:00,P13,Farmhouse,Specialty,Medium,2,17.5,35.0
10185,2024-01-30,21:52:00,P03,Hawaiian,Classic,Medium,1,16.0,16.0
10186,2024-08-12,13:29:00,P10,Four Cheese,Cheese,Medium,3,12.5,37.5
10187,2024-11-15,16:47:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10188,2024-06-04,19:06:00,P08,Veggie Supreme,Veggie,XL,1,23.25,23.25
10189,2024-06-18,19:03:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10190,2024-06-20,15:12:00,P03,Hawaiian,Classic,Medium,1,16.0,16.0
10191,2024-07-31,10:39:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10192,2024-06-08,14:57:00,P13,Farmhouse,Specialty,Small,1,14.88,14.88
10193,2024-03-30,16:25:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10194,2024-01-03,17:52:00,P09,Spinach Feta,Veggie,Large,1,11.88,11.88
10195,2024-04-07,11:19:00,P04,BBQ Chicken,Chicken,Small,2,11.47,22.94
10196,2024-10-24,13:40:00,P04,BBQ Chicken,Chicken,Small,1,11.47,11.47
10197,2024-03-22,15:19:00,P10,Four Cheese,Cheese,Small,1,10.62,10.62
10198,2024-01-06,19:56:00,P13,Farmhouse,Specialty,Large,2,21.88,43.76
10199,2024-09-08,18:40:00,P13,Farmhouse,Specialty,Large,3,21.88,65.64
10200,2024-06-17,12:43:00,P11,Cheese Burst,Cheese,Medium,3,16.5,49.5
10201,2024-06-19,18:18:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10202,2024-11-25,12:04:00,P01,Margherita,Classic,Large,1,10.0,10.0
10203,2024-03-26,18:32:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10204,2024-09-27,17:29:00,P13,Farmhouse,Specialty,Large,1,21.88,21.88
10205,2024-12-21,19:38:00,P09,Spinach Feta,Veggie,Large,3,11.88,35.64
10206,2024-07-16,15:38:00,P01,Margherita,Classic,Medium,1,8.0,8.0
10207,2024-11-03,15:02:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10208,2024-06-05,22:30:00,P10,Four Cheese,Cheese,Large,1,15.62,15.62
10209,2024-11-17,12:44:00,P01,Margherita,Classic,Large,1,10.0,10.0
10210,2024-07-19,15:18:00,P02,Pepperoni,Classic,Small,2,10.2,20.4
10211,2024-08-29,14:09:00,P08,Veggie Supreme,Veggie,Small,1,13.17,13.17
10212,2024-08-25,14:16:00,P10,Four Cheese,Cheese,XL,1,18.75,18.75
10213,2024-03-07,16:40:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10214,2024-12-22,13:02:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10215,2024-09-06,22:40:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10216,2024-03-27,21:06:00,P03,Hawaiian,Classic,Small,1,13.6,13.6
10217,2024-08-09,22:07:00,P04,BBQ Chicken,Chicken,Small,1,11.47,11.47
10218,2024-07-20,10:58:00,P11,Cheese Burst,Cheese,Small,2,14.03,28.06
10219,2024-10-02,22:28:00,P10,Four Cheese,Cheese,Medium,3,12.5,37.5
10220,2024-06-29,14:00:00,P12,Paneer Tikka,Specialty,Medium,3,13.0,39.0
10221,2024-08-30,11:43:00,P10,Four Cheese,Cheese,Large,3,15.62,46.86
10222,2024-12-30,14:34:00,P08,Veggie Supreme,Veggie,XL,1,23.25,23.25
10223,2024-01-24,10:00:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10224,2024-12-31,15:48:00,P05,Chicken Supreme,Chicken,Medium,1,17.0,17.0
10225,2024-10-20,10:40:00,P03,Hawaiian,Classic,Medium,3,16.0,48.0
10226,2024-01-31,13:08:00,P03,Hawaiian,Classic,Medium,4,16.0,64.0
10227,2024-12-26,22:53:00,P15,Truffle Mushroom,Specialty,Medium,2,19.0,38.0
10228,2024-12-30,16:30:00,P05,Chicken Supreme,Chicken,Small,1,14.45,14.45
10229,2024-09-12,22:48:00,P13,Farmhouse,Specialty,Small,3,14.88,44.64
10230,2024-07-04,19:05:00,P09,Spinach Feta,Veggie,Small,1,8.07,8.07
10231,2024-10-02,22:45:00,P12,Paneer Tikka,Specialty,Small,1,11.05,11.05
10232,2024-05-20,18:22:00,P07,Veggie Garden,Veggie,Large,1,14.38,14.38
10233,2024-03-19,13:10:00,P08,Veggie Supreme,Veggie,Medium,1,15.5,15.5
10234,2024-04-27,11:15:00,P07,Veggie Garden,Veggie,Large,1,14.38,14.38
10235,2024-10-13,20:38:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10236,2024-02-12,21:03:00,P10,Four Cheese,Cheese,XL,1,18.75,18.75
10237,2024-07-08,21:57:00,P04,BBQ Chicken,Chicken,Large,1,16.88,16.88
10238,2024-05-23,16:24:00,P01,Margherita,Classic,Medium,2,8.0,16.0
10239,2024-11-28,14:29:00,P10,Four Cheese,Cheese,Medium,2,12.5,25.0
10240,2024-03-05,14:53:00,P02,Pepperoni,Classic,Small,1,10.2,10.2
10241,2024-09-26,20:33:00,P14,Mexican Green,Specialty,Large,2,12.5,25.0
10242,2024-01-29,11:14:00,P14,Mexican Green,Specialty,Large,3,12.5,37.5
10243,2024-08-25,18:29:00,P13,Farmhouse,Specialty,Large,1,21.88,21.88
10244,2024-08-24,11:50:00,P05,Chicken Supreme,Chicken,Medium,1,17.0,17.0
10245,2024-10-22,20:53:00,P01,Margherita,Classic,Large,1,10.0,10.0
10246,2024-02-01,13:52:00,P14,Mexican Green,Specialty,Small,1,8.5,8.5
10247,2024-07-24,20:02:00,P06,Buffalo Chicken,Chicken,Small,2,8.92,17.84
10248,2024-10-31,12:12:00,P15,Truffle Mushroom,Specialty,Large,2,23.75,47.5
10249,2024-12-10,11:00:00,P14,Mexican Green,Specialty,Medium,1,10.0,10.0
10250,2024-06-15,22:54:00,P12,Paneer Tikka,Specialty,XL,2,19.5,39.0
10251,2024-12-15,10:28:00,P04,BBQ Chicken,Chicken,Small,2,11.47,22.94
10252,2024-12-27,13:08:00,P05,Chicken Supreme,Chicken,Large,3,21.25,63.75
10253,2024-07-10,14:42:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10254,2024-03-16,21:49:00,P04,BBQ Chicken,Chicken,Large,3,16.88,50.64
10255,2024-07-14,22:27:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10256,2024-12-25,12:55:00,P08,Veggie Supreme,Veggie,Large,1,19.38,19.38
10257,2024-11-28,11:18:00,P14,Mexican Green,Specialty,Medium,1,10.0,10.0
10258,2024-11-29,14:26:00,P10,Four Cheese,Cheese,Large,1,15.62,15.62
10259,2024-09-10,19:09:00,P08,Veggie Supreme,Veggie,Small,2,13.17,26.34
10260,2024-03-28,10:51:00,P02,Pepperoni,Classic,Small,1,10.2,10.2
10261,2024-07-26,10:00:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10262,2024-01-21,15:46:00,P15,Truffle Mushroom,Specialty,Large,1,23.75,23.75
10263,2024-06-25,20:21:00,P02,Pepperoni,Classic,Medium,2,12.0,24.0
10264,2024-11-20,13:57:00,P07,Veggie Garden,Veggie,Large,1,14.38,14.38
10265,2024-05-28,17:08:00,P13,Farmhouse,Specialty,Large,2,21.88,43.76
10266,2024-03-31,21:17:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10267,2024-09-02,12:14:00,P10,Four Cheese,Cheese,Large,1,15.62,15.62
10268,2024-02-13,22:32:00,P10,Four Cheese,Cheese,Small,1,10.62,10.62
10269,2024-02-05,17:50:00,P05,Chicken Supreme,Chicken,Large,1,21.25,21.25
10270,2024-01-30,19:20:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10271,2024-12-22,20:56:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10272,2024-10-13,17:55:00,P12,Paneer Tikka,Specialty,Medium,3,13.0,39.0
10273,2024-09-09,22:16:00,P13,Farmhouse,Specialty,Small,2,14.88,29.76
10274,2024-07-27,11:23:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10275,2024-05-01,10:03:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10276,2024-05-02,15:44:00,P07,Veggie Garden,Veggie,Medium,3,11.5,34.5
10277,2024-05-22,20:41:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10278,2024-06-17,18:41:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10279,2024-11-04,16:56:00,P10,Four Cheese,Cheese,Large,2,15.62,31.24
10280,2024-11-07,20:22:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10281,2024-11-27,17:52:00,P13,Farmhouse,Specialty,Large,1,21.88,21.88
10282,2024-12-06,14:31:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10283,2024-12-02,15:36:00,P05,Chicken Supreme,Chicken,Large,1,21.25,21.25
10284,2024-09-20,11:10:00,P02,Pepperoni,Classic,Large,2,15.0,30.0
10285,2024-06-30,21:58:00,P08,Veggie Supreme,Veggie,Medium,1,15.5,15.5
10286,2024-05-17,19:46:00,P01,Margherita,Classic,Large,1,10.0,10.0
10287,2024-12-02,16:41:00,P07,Veggie Garden,Veggie,Small,1,9.78,9.78
10288,2024-10-19,21:15:00,P08,Veggie Supreme,Veggie,Large,1,19.38,19.38
10289,2024-07-22,19:20:00,P04,BBQ Chicken,Chicken,Large,3,16.88,50.64
10290,2024-11-10,17:27:00,P08,Veggie Supreme,Veggie,Medium,2,15.5,31.0
10291,2024-10-19,14:32:00,P01,Margherita,Classic,Large,2,10.0,20.0
10292,2024-12-04,21:14:00,P01,Margherita,Classic,Small,1,6.8,6.8
10293,2024-09-13,20:27:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10294,2024-02-19,12:31:00,P05,Chicken Supreme,Chicken,Small,1,14.45,14.45
10295,2024-06-04,18:23:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10296,2024-07-09,13:55:00,P07,Veggie Garden,Veggie,Large,4,14.38,57.52
10297,2024-08-24,18:02:00,P11,Cheese Burst,Cheese,Large,1,20.62,20.62
10298,2024-10-30,15:39:00,P03,Hawaiian,Classic,Small,1,13.6,13.6
10299,2024-02-27,16:56:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10300,2024-08-28,18:59:00,P01,Margherita,Classic,Large,2,10.0,20.0
10301,2024-04-26,15:49:00,P01,Margherita,Classic,Small,1,6.8,6.8
10302,2024-08-27,11:19:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10303,2024-08-15,14:38:00,P08,Veggie Supreme,Veggie,Small,1,13.17,13.17
10304,2024-09-09,20:59:00,P09,Spinach Feta,Veggie,Medium,3,9.5,28.5
10305,2024-04-20,10:31:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10306,2024-10-24,13:28:00,P15,Truffle Mushroom,Specialty,Large,3,23.75,71.25
10307,2024-10-30,17:02:00,P07,Veggie Garden,Veggie,Small,2,9.78,19.56
10308,2024-04-27,20:08:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10309,2024-10-05,16:16:00,P12,Paneer Tikka,Specialty,Medium,2,13.0,26.0
